Field,HPRC_HiC.tsv,HPRC_ONT.tsv,HPRC_PacBio_HiFi.tsv
data_type,x,x,x
design_description,x,x,x
filename,x,x,x
generator_contact,x,x,x
generator_facility,x,x,x
instrument_model,x,x,x
library_ID,x,x,x
library_layout,x,x,x
library_selection,x,x,x
library_source,x,x,x
library_strategy,x,x,x
path,x,x,x
platform,x,x,x
shear_method,x,x,x
total_Gbp,x,x,x
N50,,x,x
accession,x,,x
biosample_accession,x,,x
coverage,x,x,
filetype,x,x,
notes,,x,x
ntsm_score,x,x,
sample_ID,,x,x
size_selection,,x,x
study,x,,x
total_bp,x,,x
100kb+,,x,
1Mb+,,x,
200kb+,,x,
300kb+,,x,
400kb+,,x,
500kb+,,x,
DeepConsensus_version,,,x
MM_tag,,,x
N25,,,x
N75,,,x
assembly,x,,
basecaller,,x,
basecaller_model,,x,
basecaller_version,,x,
bioproject_accession,x,,
ccs_algorithm,,,x
max,,,x
mean,,,x
min,,,x
ntsm_result,x,,
polymerase_version,,,x
quartile_25,,,x
quartile_50,,,x
quartile_75,,,x
result,,x,
sample_id,x,,
seq_kit,,x,
seq_plate_chemistry_version,,,x
title,x,,
total_reads,,,x
whales,,x,
