100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,MM_remove,MM_review,MM_tag,N25,N50,N75,accession,barcode,basecaller,basecaller_model,basecaller_version,basecalling_version,bioproject_accession,biosample_accession,ccs_algorithm,cell_type,check-flnc reads,coverage,data_type,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,iso_filename,iso_library_id,jasmine_version,library_ID,library_layout,library_selection,library_source,library_strategy,lima_float_version,lima_version,max,mean,min,notes,ntsm_score,path,pbtrim_version,platform,platform_unit_1,platform_unit_2,polymerase_version,pool,primrose_filename,production,quartile_25,quartile_50,quartile_75,read_N50,refine_version,sample_ID,seq_kit,seq_plate_chemistry_version,sequencing_chemistry,shear_method,similarity,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,file_size
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613929,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,5.87,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-1_S15_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-1-1_S15_L001_R1_001-1_S15_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.568935,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.21,18206561943.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,9649732903
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613928,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,5.9,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-1_S15_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-1-1_S15_L002_R1_001-1_S15_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.587264,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.28,18277431102.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,9709239622
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613888,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,5.9,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-1_S15_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-1-1_S15_L003_R1_001-1_S15_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.518726,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.28,18277713152.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,9715405554
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613695,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,5.92,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-1_S15_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-1-1_S15_L004_R1_001-1_S15_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.567746,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-1_S15_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.35,18349525689.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,9739502660
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613837,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,6.28,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-2_S16_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-2-2_S16_L001_R1_001-2_S16_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.57545,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.47,19474750712.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,10282473698
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613668,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,6.3,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-2_S16_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-2-2_S16_L002_R1_001-2_S16_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.567801,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.54,19540903591.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,10341326067
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613655,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,6.31,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-2_S16_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-2-2_S16_L003_R1_001-2_S16_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.543371,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.56,19557125825.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,10354764107
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613823,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237490,N/A,N/A,N/A,6.34,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00423-81d-2_S16_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00423-81d-2-2_S16_L004_R1_001-2_S16_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.550402,s3://human-pangenomics/working/HPRC/HG00423/raw_data/hic/HG00423-81d-2_S16_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00423,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.64,19641695401.0,N/A,N/A,HG00423,SH007,female,CHS,EAS,YR2,10384073410
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613813,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.22,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-1_S1_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-1-1_S1_L001_R1_001-1_S1_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.52936,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,25.48,25480247832.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,13039440101
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613731,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237491,N/A,N/A,N/A,8.18,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG00544-24ab-1_S1_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG00544-24ab-1-1_S1_L002_R1_001-1_S1_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.537102,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG00544,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,25.35,25348619543.0,N/A,N/A,HG00544,SH042,female,CHS,EAS,YR2,12969814241
