design_description	size_selection	basecaller_model	library_strategy	total_reads	Gb	library_ID	basecaller_version	notes	filetype	ccs_algorithm	quartile_25	ntsm_score	DeepConsensus_version	path	filename	library_selection	shear_method	polymerase_version	500kb+	seq_kit	biosample_accession	max	total_Gbp	seq_plate_chemistry_version	library_layout	generator_facility	N50	200kb+	coverage	mean	N25	total_bp	400kb+	sample_ID	sample	read_N50	1Mb+	data_type	study	N75	min	quartile_50	platform	instrument_model	quartile_75	whales	100kb+	300kb+	library_source	basecaller	generator_contact	result	accession	Sample	Accession	familyID	Subpopulation	Superpopulation	Production Year
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	64.14	02_08_22_R941_HG00558_1	6.5.7	N/A	bam	N/A	N/A	0.312169	N/A	s3://human-pangenomics/working/HPRC/HG00558/raw_data/nanopore/guppy_6/02_08_22_R941_HG00558_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG00558_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.07	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	2.77	19.44	N/A	N/A	N/A	0.18	HG00558	HG00558	100937.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	10.0	9.82	0.63	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG00558	SAMN33758780	SH045	CHS	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	50.46	02_08_22_R941_HG00558_2	6.5.7	N/A	bam	N/A	N/A	0.352575	N/A	s3://human-pangenomics/working/HPRC/HG00558/raw_data/nanopore/guppy_6/02_08_22_R941_HG00558_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG00558_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.05	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	1.98	15.29	N/A	N/A	N/A	0.12	HG00558	HG00558	95821.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	12.0	7.29	0.43	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG00558	SAMN33758780	SH045	CHS	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	65.0	02_08_22_R941_HG00558_3	6.5.7	N/A	bam	N/A	N/A	0.374149	N/A	s3://human-pangenomics/working/HPRC/HG00558/raw_data/nanopore/guppy_6/02_08_22_R941_HG00558_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG00558_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.06	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	2.55	19.7	N/A	N/A	N/A	0.15	HG00558	HG00558	97461.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	13.0	9.58	0.54	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG00558	SAMN33758780	SH045	CHS	EAS	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	46.52	02_08_22_R941_HG01252_1	6.5.7	N/A	bam	N/A	N/A	0.331159	N/A	s3://human-pangenomics/working/HPRC/HG01252/raw_data/nanopore/guppy_6/02_08_22_R941_HG01252_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG01252_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.01	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	0.89	14.1	N/A	N/A	N/A	0.04	HG01252	HG01252	80723.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	0.0	5.27	0.19	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG01252	SAMN37797098	CLM14	CLM	AMR	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	49.73	02_08_22_R941_HG01252_2	6.5.7	N/A	bam	N/A	N/A	0.339225	N/A	s3://human-pangenomics/working/HPRC/HG01252/raw_data/nanopore/guppy_6/02_08_22_R941_HG01252_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG01252_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.03	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	1.02	15.07	N/A	N/A	N/A	0.07	HG01252	HG01252	80454.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	4.0	5.63	0.23	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG01252	SAMN37797098	CLM14	CLM	AMR	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	60.58	02_08_22_R941_HG01252_3	6.5.7	N/A	bam	N/A	N/A	0.310941	N/A	s3://human-pangenomics/working/HPRC/HG01252/raw_data/nanopore/guppy_6/02_08_22_R941_HG01252_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG01252_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.03	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	1.11	18.36	N/A	N/A	N/A	0.07	HG01252	HG01252	77916.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	3.0	6.55	0.24	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG01252	SAMN37797098	CLM14	CLM	AMR	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	70.78	02_08_22_R941_HG02258_1	6.5.7	N/A	bam	N/A	N/A	0.348374	N/A	s3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG02258_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.04	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	3.03	21.45	N/A	N/A	N/A	0.12	HG02258	HG02258	103269.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	1.0	11.1	0.59	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02258	SAMN33621952	BB22	ACB	AFR	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	47.83	02_08_22_R941_HG02258_2	6.5.7	N/A	bam	N/A	N/A	0.359481	N/A	s3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG02258_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.02	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	1.92	14.49	N/A	N/A	N/A	0.07	HG02258	HG02258	101187.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	3.0	7.34	0.36	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02258	SAMN33621952	BB22	ACB	AFR	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	25.92	02_08_22_R941_HG02258_3	6.5.7	N/A	bam	N/A	N/A	0.442759	N/A	s3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG02258_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.02	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	1.08	7.85	N/A	N/A	N/A	0.05	HG02258	HG02258	98290.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	1.0	3.86	0.21	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02258	SAMN33621952	BB22	ACB	AFR	YR3
UL sequencing using ONT-Circulomics method	no SS	dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg	WGS	N/A	19.61	02_08_22_R941_HG02258_4	6.5.7	N/A	bam	N/A	N/A	0.429346	N/A	s3://human-pangenomics/working/HPRC/HG02258/raw_data/nanopore/guppy_6/02_08_22_R941_HG02258_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	02_08_22_R941_HG02258_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	RANDOM	no shear	N/A	0.0	SQK-ULK001	N/A	N/A	N/A	N/A	single	University of California, Santa Cruz	N/A	0.59	5.94	N/A	N/A	N/A	0.02	HG02258	HG02258	92608.0	0.0	unaligned reads with 5mC mods	N/A	N/A	N/A	N/A	OXFORD_NANOPORE	PromethION	N/A	0.0	2.71	0.1	GENOMIC	guppy	iviolich@ucsc.edu	Similar	N/A	HG02258	SAMN33621952	BB22	ACB	AFR	YR3
