accession,barcode,basecaller,basecaller_model,basecaller_version,bioproject_accession,biosample_accession,ccs_algorithm,coverage,coverage_over_100kb,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,family_id,filename,filetype,gender,generator_contact,generator_facility,instrument_model,iso_filename,library_source,library_strategy,lima_version,maternal_id,mm_tag,n50,other_comments,paternal_id,path,phasing,platform,platform_unit_1,platform_unit_2,pool,primrose_filename,production,relationship,sample_id,second_order,sequencing_chemistry,siblings,study,third_order,total_gbp,total_reads,whales,file_size
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.5,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L002_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L002_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.54,N/A,N/A,844798155
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.5,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L002_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L002_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.56,N/A,N/A,964543106
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.52,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L008_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L008_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.62,N/A,N/A,879741755
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.53,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L004_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L004_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.64,N/A,N/A,880829575
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.53,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L008_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L008_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.64,N/A,N/A,997196456
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L003_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L003_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.69,N/A,N/A,904028375
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L004_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L004_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.66,N/A,N/A,1011218495
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L005_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L005_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.66,N/A,N/A,887793772
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L005_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L005_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.68,N/A,N/A,1014768669
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L006_R1_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L006_R1_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.67,N/A,N/A,891045304
,N/A,,N/A,,PRJNA731524,SAMN13957944,N/A,0.54,N/A,N/A,N/A,N/A,N/A,SE5138_NWM047-3_S1_L006_R2_001.trimmed.fastq.gz,fastq,N/A,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,s3://human-pangenomics/working/HPRC_PLUS/HG03098/raw_data/hic/SE5138_NWM047-3_S1_L006_R2_001.trimmed.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,add_to_index,N/A,HG03098,N/A,N/A,N/A,SRP320775,N/A,1.68,N/A,N/A,1021669620
