100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,Gb,MM_tag,N25,N50,N75,accession,assembly,basecaller,basecaller_model,basecaller_version,bioproject_accession,biosample_accession,ccs_algorithm,coverage,data_type,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,library_ID,library_layout,library_selection,library_source,library_strategy,max,mean,min,notes,ntsm_result,ntsm_score,path,platform,polymerase_version,quartile_25,quartile_50,quartile_75,read_N50,result,sample,sample_ID,seq_kit,seq_plate_chemistry_version,shear_method,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,Sample,Accession,familyID,Subpopulation,Superpopulation,Production Year
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242407,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.37,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-1_S20_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-1_S20_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.63141,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,10.451741673,10451741673.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242406,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.63,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-1_S20_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-1_S20_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.580328,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,11.266122224,11266122224.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242322,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.63,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-1_S20_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-1_S20_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.577897,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,11.263022499,11263022499.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242307,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.6,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-1_S20_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-1_S20_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.610805,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,11.172967086,11172967086.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242271,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.27,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-2_S28_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-2_S28_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.607471,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,10.131790358,10131790358.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242256,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.59,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-2_S28_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-2_S28_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.634275,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,11.131760226,11131760226.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242245,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.59,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-2_S28_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-2_S28_L003,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.639197,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,11.135119794,11135119794.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242475,,N/A,N/A,N/A,PRJNA701308,SAMN33758778,N/A,3.55,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00099-2_S28_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00099-2_S28_L004,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.602038,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00099,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00099,10.993123748,10993123748.0,N/A,N/A,HG00099,SAMN33758778,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242464,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,11.94,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-1_S22_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-1_S22_L001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.525447,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,37.024993829,37024993829.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30242456,,N/A,N/A,N/A,PRJNA701308,SAMN33621941,N/A,12.29,unaligned reads,Illumina Sequencing of Omni-C Libraries,HG00140-1_S22_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,HG00140-1_S22_L002,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,Similar,0.510349,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HG00140,N/A,N/A,no shear,N/A,SRP305758,Illumina Sequencing of Omni-C Libraries of HG00140,38.093038178,38093038178.0,N/A,N/A,HG00140,SAMN33621941,,GBR,EUR,YR3
