sample_id,haplotype,assembly,fasta_sha256,release,phasing,assembly_method,assembly_method_version,assembly_date,assembly_name,source,genbank_accession,assembly_md5,assembly_fai,assembly_gzi,biosample_id,population_descriptor,population_abbreviation,trio_available,family_id,paternal_id,maternal_id,sex,tissue,collection,alternative_id,notes,file_size
HG002,2,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.maternal.f1_assembly_v2_genbank.fa.gz,9e0b7ae6b0727a8828cef61c7b216eabdb2f098fcd2940fd1ffb8cca05185831,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN03283347,,,True,,NA24694,NA24695,male,,GIAB,NA24385,,878699260
HG002,1,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.paternal.f1_assembly_v2_genbank.fa.gz,ec46feb51b343f030aae3e7c4781463a36f059a031f4aacef864a9863d4fc986,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN03283347,,,True,,NA24694,NA24695,male,,GIAB,NA24385,,842839392
HG00438,2,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz,ca307e58dfba48336dd3a05d0ea59b87e3383a5a8c839e5b7c6e7ab6178d58ea,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861652,"Han Chinese South, China",CHS,True,SH012,HG00436,HG00437,female,B-Lymphocyte,1000G,,,875021829
HG00438,1,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz,a5840157a6995c5fbc08698e52b614fbdf6f57a7245db944edb328a0b3e23ff8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861652,"Han Chinese South, China",CHS,True,SH012,HG00436,HG00437,female,B-Lymphocyte,1000G,,,874256056
HG005,2,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.maternal.f1_assembly_v2_genbank.fa.gz,8a9b715d91685b7db161e878ab205fb7a149794ecf79b3d6602d9610382ad71a,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN03283350,,,True,,HG003,HG004,male,B-Lymphocyte,GIAB,NA26107,,874612882
HG005,1,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.paternal.f1_assembly_v2_genbank.fa.gz,399e1bb4bf40f6b70152acd6f4cc8502fd50d0edef774d9af7ea1add1982c5e6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN03283350,,,True,,HG003,HG004,male,B-Lymphocyte,GIAB,NA26107,,841437574
HG00621,2,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.maternal.f1_assembly_v2_genbank.fa.gz,1180dda57e968c6f9cf1902981038141f0905b395d44ea9a068131891d22e353,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861653,"Han Chinese South, China",CHS,True,SH066,HG00619,HG00620,male,B-Lymphocyte,1000G,,,872642530
HG00621,1,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/HG00621.paternal.f1_assembly_v2_genbank.fa.gz,bb7d30232f423cabf8d2ebf7443d15aa42bdbfe826424e89ac5f0ee33b0bc780,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861653,"Han Chinese South, China",CHS,True,SH066,HG00619,HG00620,male,B-Lymphocyte,1000G,,,835826203
HG00673,2,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.maternal.f1_assembly_v2_genbank.fa.gz,0eef54ceca964b5a65c046529e5e433f0cb1a19d6d8a19485a292ae763e6a96c,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861654,"Han Chinese South, China",CHS,True,SH079,HG00671,HG00672,male,B-Lymphocyte,1000G,,,878057494
HG00673,1,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/HG00673.paternal.f1_assembly_v2_genbank.fa.gz,9650cdb2f090bb94dcb81d0cf9be27e2565de0489dc0d736e5d139c76f564f78,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAMN17861654,"Han Chinese South, China",CHS,True,SH079,HG00671,HG00672,male,B-Lymphocyte,1000G,,,838555949
