sample,haplotype,aws_fasta,gcp_fasta,fasta_sha256,Accession,familyID,Subpopulation,Superpopulation,Production Year,ASat-annotation-file,CAT_genes_chm13_annotation_file,CAT_genes_hg38_annotation_file,DNA_BRNN_annotation_file,Flagger_annotation_file,HSat_annotation_file,Repeat_masker_annotation_file,Seg_Dups_annotation_file,TRF_annotation_file,num_contigs,total_len,N50,L50,full_sgl,full_dup,frag,switch_err_rate,hamming_err_rate,qv
CHM13_v1.1,unknown,s3://human-pangenomics/working/HPRC_PLUS/CHM13/assemblies/chm13.draft_v1.1.fasta.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/CHM13/assemblies/chm13.draft_v1.1.fasta.gz,55df6143b2458c9fc2a987bd297a330c1bb28116ed80527509d6caabe0ef0b9a,,,,,,,,,,,,,,,,,,,,,,,,
CHM13_v1.1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCh38_no_alt_analysis_set,unknown,s3://human-pangenomics/working/HPRC_PLUS/GRCh38/assemblies/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/GRCh38/assemblies/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,fb4243ebb014caf27111f24dd62b7ce42160f28581da6f8fcd6cba5977778d02,,,,,,,,,,,,,,,,,,,,,,,,
GRCh38_no_alt_analysis_set,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG002,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.maternal.f1_assembly_v2_genbank.fa.gz,9e0b7ae6b0727a8828cef61c7b216eabdb2f098fcd2940fd1ffb8cca05185831,,,,,,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG002-maternal.bed,,,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG002.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG002.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG002.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG002.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG002.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG002.mat.trf.bed.gz,445.0,3060609068.0,81875417.0,14.0,34665.0,158.0,4.0,0.92%,0.79%,52.909
HG002,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.paternal.f1_assembly_v2_genbank.fa.gz,ec46feb51b343f030aae3e7c4781463a36f059a031f4aacef864a9863d4fc986,,,,,,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG002-paternal.bed,,,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG002.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG002.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG002.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG002.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG002.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG002.pat.trf.bed.gz,610.0,2958633312.0,84969781.0,14.0,34690.0,145.0,6.0,0.83%,1.38%,53.775
HG00438,maternal,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz,ca307e58dfba48336dd3a05d0ea59b87e3383a5a8c839e5b7c6e7ab6178d58ea,SAMN17861652,SH012,CHS,EAS,YR1,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00438-maternal.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00438.2.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00438.2.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00438.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00438.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00438.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00438.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00438.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00438.mat.trf.bed.gz,258.0,3035735720.0,54936949.0,19.0,34620.0,226.0,10.0,0.97%,1.03%,52.837
HG00438,paternal,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz,a5840157a6995c5fbc08698e52b614fbdf6f57a7245db944edb328a0b3e23ff8,SAMN17861652,SH012,CHS,EAS,YR1,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG00438-paternal.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00438.1.chm13.gff3.gz,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/cat_genes/HG00438.1.hg38.gff3.gz,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG00438.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG00438.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00438.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG00438.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG00438.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG00438.pat.trf.bed.gz,276.0,3025118465.0,48061544.0,20.0,34727.0,131.0,9.0,0.95%,0.88%,52.845
HG005,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.maternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.maternal.f1_assembly_v2_genbank.fa.gz,8a9b715d91685b7db161e878ab205fb7a149794ecf79b3d6602d9610382ad71a,,,,,,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG005-maternal.bed,,,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG005.maternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG005.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG005.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG005.maternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG005.maternal.sedef.bedpe,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG005.mat.trf.bed.gz,503.0,3029694013.0,69736411.0,17.0,34718.0,117.0,9.0,0.68%,0.57%,54.092
HG005,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.paternal.f1_assembly_v2_genbank.fa.gz,gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/HG005.paternal.f1_assembly_v2_genbank.fa.gz,399e1bb4bf40f6b70152acd6f4cc8502fd50d0edef774d9af7ea1add1982c5e6,,,,,,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/asat/AS-HOR+SF-vs-HG005-paternal.bed,,,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG005.paternal.f1_assembly_v2_genbank.dna_brnn.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/flagger/HG005.hifi.flagger_final.simplified.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG005.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/repeat_masker/HG005.paternal.f1_assembly_v2_genbank_rm.bed,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/seg_dups/HG005.paternal.sedef.bedpe,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/trf/HG005.pat.trf.bed.gz,682.0,2937775295.0,58303677.0,17.0,34667.0,129.0,9.0,0.28%,0.21%,54.194
